ground_truth	text	text_id	2048	2049	2050	2051	2052	2053	2054	2058	2060	2061	2062	2063	2065	2066	2068	2069	2070	2071	2072	2073	2074	2075	2076	2077	2078	2079	2080	2081	2082	2083	2084	2085	2086	2087	2088	2089	2090	2091	2092	2093	2094	2095	2096	2097	2098	2099	2100	2101	2102	2103	2104	2106	2107	2108	2109	2110	2112	2113	2114	2115	2116	2118	2120	2121	2122	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025	2026	2027	2028	2029	2030	2031	2032	2034	2035	2036	2037	2038	2039	2040	2041	2042	2044	2045	2047
MOSTLY FALSE	A 13 percent increase in police-recorded crime in England and Wales is linked to a rise in 'radical Islamic terror.'	1005	1	4	5	5	4	4	1	2	2	4	3	2	1	4	2	4	3	1	1	2	4	5	4	4	3	4	5	4	2	3	5	4	3	4	4	4	5	1	3	4	2	4	2	4	4	1	2	2	1	2	2	2	1	1	4	2	1	2	2	1	4	4	4	1	5	2	1	2	3	3	4	2	4	1	3	2	4	1	2	1	2	5	2	1	2	4	3	3	3	1	1	4	2	3	1	1	1	1	2	2	1
MOSTLY FALSE	Hillary Clinton said women voted for Donald Trump because they 'caved' to pressure from the men around them.	1006	1	4	5	5	5	4	1	4	5	4	3	4	2	4	3	4	5	5	3	5	2	5	5	3	4	5	5	4	4	2	4	1	2	4	2	2	3	1	3	3	5	2	1	5	5	2	1	2	1	5	2	1	5	1	4	2	5	1	4	5	3	1	1	4	5	4	2	5	3	5	3	4	2	5	5	4	5	2	4	5	5	4	5	5	2	3	4	2	3	2	5	5	5	4	1	5	5	4	3	5	2
MOSTLY FALSE	Congress passed laws in 1929 and 1958 designating all Confederate soldiers as United States veterans, making it illegal to remove monuments to the Confederacy.	1007	1	1	5	1	4	2	1	1	1	4	5	1	1	3	2	1	3	1	1	1	2	4	1	2	3	4	3	1	2	1	4	1	3	2	3	2	5	1	1	3	1	2	1	1	4	1	1	4	1	1	1	2	1	1	2	2	1	3	2	1	4	1	4	2	1	1	2	4	3	2	3	2	1	2	4	4	2	3	1	4	3	1	2	1	4	4	4	1	4	1	4	2	2	1	1	1	1	1	3	2	2
MOSTLY FALSE	Vigilante Protesters Digging Up Confederate Graves after Charlottesville Clashes?	1009	1	1	4	1	4	3	1	1	2	2	1	1	1	2	1	4	2	1	1	4	4	5	1	2	3	3	5	1	2	2	1	1	3	3	4	2	1	1	4	3	1	4	2	1	2	1	1	3	1	2	1	3	2	1	3	2	1	3	2	1	1	5	4	5	5	1	1	2	3	3	2	1	1	1	5	4	1	1	1	5	2	1	1	1	3	4	4	1	4	2	1	2	4	1	1	1	1	1	3	1	1
MOSTLY FALSE	The House voted to allow horses in the U.S. to be slaughtered for food.	1010	1	5	1	1	3	1	1	3	1	1	1	1	5	1	3	1	2	3	1	1	3	2	2	1	4	1	4	1	2	2	4	1	2	3	2	4	1	2	2	2	2	1	1	1	2	1	1	1	1	1	1	2	1	1	2	2	4	1	2	1	1	1	5	4	1	4	1	4	3	2	1	1	1	1	4	4	1	1	2	3	3	2	2	5	3	1	1	2	2	1	1	4	1	1	1	1	1	1	3	5	3
MOSTLY FALSE	A video shows Coretta Scott King thanking Jeff Sessions during her remarks at the dedication of the Rosa Parks Library.	1018	1	5	4	1	4	4	5	1	4	4	4	2	4	5	5	3	2	3	1	2	2	5	4	3	3	3	5	1	3	3	4	2	1	2	5	2	3	4	3	3	1	4	2	4	5	3	1	3	1	3	3	5	1	1	3	2	4	3	2	5	3	4	4	5	5	4	3	5	4	4	2	1	4	4	4	2	4	1	3	3	4	4	4	1	2	4	3	4	2	5	4	4	4	1	5	1	3	2	3	4	1
MOSTLY FALSE	Stephen Colbert and Rachel Maddow are organizing a 'Fire The Fool' rally against President Trump.	1019	1	5	1	5	3	3	1	1	4	2	1	2	2	3	1	5	2	5	5	5	3	5	4	2	3	2	5	3	2	4	3	1	2	4	4	2	3	1	2	3	5	4	3	5	4	1	1	2	5	4	3	5	1	1	4	3	4	4	4	5	2	4	1	2	4	3	1	2	3	4	1	1	5	5	5	4	2	4	2	3	5	1	2	4	4	4	1	4	3	5	1	4	1	5	1	5	1	5	3	1	3
MOSTLY FALSE	President Trump lifted sanctions against Russia as a 'gift' to Putin.	1021	5	1	1	1	3	4	5	1	4	2	3	4	1	4	1	3	2	2	1	1	4	2	4	3	1	4	1	1	4	3	1	4	1	2	1	4	1	1	3	3	5	4	2	1	2	1	1	2	5	5	4	5	1	2	1	5	1	2	3	3	1	3	4	5	1	4	1	2	3	1	3	1	1	1	5	1	1	2	4	2	1	1	2	3	4	3	1	4	4	4	5	4	1	2	2	1	1	1	1	1	3
MOSTLY FALSE	The Chili's restaurant chain donates 15 percent of every sale to Planned Parenthood.	1026	1	1	2	1	4	2	1	1	3	2	2	2	1	4	2	3	1	1	5	2	4	3	2	2	1	1	1	1	3	4	2	3	3	2	1	4	1	1	2	3	1	1	2	4	2	1	1	1	1	1	2	4	1	1	4	1	1	3	4	1	4	3	3	2	4	2	1	1	3	2	3	1	2	1	2	3	2	1	1	1	1	1	1	1	3	2	3	1	3	1	4	4	4	2	2	1	1	1	3	5	1
