ground_truth	text	text_id	1024	1025	1026	1028	1029	1030	1031	1032	1033	1034	1035	1036	1037	1038	1039	1040	1042	1043	1044	1045	1046	1048	1049	1050	1051	1053	1054	1055	1056	1057	1058	1059	1060	1061	1062	1063	1065	1066	1067	1068	1069	1070	1071	1072	1073	1074	1076	1077	1079	1080	1081	1083	1084	1085	1086	1087	1088	1089	1090	1091	1092	1093	1094	1096	1098	1100	1101	1102	1104	1105	1106	1107	1108	1109	1111	1112	1113	1114	1115	1116	1117	1118	1119	1120	1121	1123	1124	1125	1126	1127	1007	1008	1009	1011	1012	1013	1014	1015	1016	1017	1019	1020	1021	1022	1023
MOSTLY FALSE	Donald Trump referred to the pedophilia conspiracy theory that has come to be known as 'Pizzagate' during a 2011 interview.	1011	3	3	4	3	5	2	1	3	2	1	4	1	5	1	5	3	4	1	4	2	4	1	2	4	4	4	1	3	1	5	1	1	2	5	4	4	3	1	4	2	5	4	4	1	1	5	2	1	1	5	4	4	4	1	1	4	4	2	5	2	1	3	5	1	4	4	3	3	4	1	1	5	5	5	2	3	2	1	1	1	4	1	4	3	1	3	2	2	4	5	2	1	3	3	1	3	2	1	2	5	1	2	3	3	2
MOSTLY FALSE	A video shows Londoners expressing support for the US President, following a June 2017 terrorist attack in the city	1013	4	1	2	4	1	2	2	2	4	4	2	4	4	3	5	3	4	3	2	1	4	5	2	3	2	3	3	4	5	2	2	5	4	5	4	5	1	5	3	4	5	3	1	1	1	2	4	2	1	1	2	4	1	2	2	1	1	2	3	1	1	4	1	4	4	3	5	3	4	3	3	2	4	1	2	4	2	2	2	1	3	3	3	2	1	5	2	2	4	4	2	4	3	1	1	3	3	1	5	1	1	2	1	1	4
MOSTLY FALSE	Attorney General Jeff Sessions has investments in the private prison industry	1015	5	5	4	3	5	4	3	2	4	3	3	3	4	2	3	5	5	4	5	3	5	4	5	5	4	3	4	5	5	4	2	2	2	4	4	3	5	5	5	4	1	5	5	3	4	5	4	2	5	5	2	4	4	4	5	1	4	4	5	4	4	4	5	2	1	4	4	4	4	4	4	5	4	5	1	5	1	4	1	3	1	4	4	4	1	4	1	3	4	5	2	4	3	4	4	3	4	4	5	3	1	1	5	3	5
MOSTLY FALSE	All eight Supreme Court justices penned a 'letter' saying  President Trump was 'completely wrong in choosing Neil Gorsuch' to fill a vacant seat on the court.	1016	2	1	2	5	1	3	3	2	2	1	2	3	1	1	2	2	1	1	1	3	5	1	5	4	4	2	1	2	1	4	2	1	2	1	4	4	1	1	2	2	5	1	3	3	2	1	4	4	1	1	2	2	3	2	1	1	4	1	3	1	1	1	1	4	5	1	4	1	3	5	2	1	5	1	2	4	1	1	1	1	2	1	3	1	1	4	5	1	2	1	4	4	2	1	1	3	3	4	2	1	1	1	5	1	4
MOSTLY FALSE	122 detainees released from confinement at Guantanamo Bay under President Obama have re-engaged in terrorist activities.	1017	1	1	2	5	2	1	2	3	2	2	4	1	2	2	4	3	1	1	3	1	2	1	2	3	2	5	2	2	1	2	3	4	3	4	2	5	1	1	2	2	2	5	2	1	2	1	2	4	1	3	4	3	2	4	4	3	4	4	3	1	3	4	4	2	2	1	4	3	3	2	5	1	1	5	5	2	3	1	2	1	4	3	2	1	5	5	2	3	1	5	3	1	3	1	1	2	2	1	4	2	2	1	3	3	2
MOSTLY FALSE	President Trump changed the name of Black History Month to African-American History Month.	1022	2	1	2	2	5	1	1	1	2	1	2	1	1	1	2	1	1	1	1	2	5	1	3	2	4	5	1	1	1	2	1	1	1	1	1	5	1	2	4	2	1	3	1	1	1	1	2	1	1	1	2	3	1	5	1	1	1	1	1	1	1	2	1	1	1	1	5	4	1	1	1	1	1	2	2	1	1	1	1	5	2	1	2	1	1	4	2	1	1	1	3	5	2	1	1	3	2	1	1	1	1	1	3	1	2
MOSTLY FALSE	President Obama banned immigration from Iraq for six months in 2011, but the media buried the story.	1023	2	1	2	5	5	4	2	3	2	1	4	1	1	3	1	4	2	2	1	2	5	5	1	2	3	3	4	1	1	1	1	1	4	5	4	5	3	1	4	2	1	3	5	3	1	2	2	4	3	5	2	1	2	5	3	3	4	3	3	1	4	2	5	5	5	3	3	3	4	2	3	1	1	1	2	2	2	2	5	2	4	1	3	3	5	3	4	4	2	2	2	3	5	1	1	3	4	1	2	2	1	1	1	2	1
MOSTLY FALSE	Donald Trump hung a photograph of the Women's March at the White House believing that it showed his inauguration.	1027	5	5	2	3	1	1	2	4	4	4	4	2	4	1	4	2	1	1	2	1	4	1	4	4	4	4	1	1	5	4	4	1	2	4	4	4	1	1	3	2	1	2	1	4	1	2	4	1	5	1	2	2	1	1	2	1	5	1	5	5	1	2	1	4	1	1	5	1	2	1	4	3	1	1	2	2	1	1	2	1	2	1	2	1	1	2	2	1	1	4	4	2	1	1	1	3	2	1	4	2	5	1	5	2	2
MOSTLY FALSE	President Trump's administration shut down the White House phone comment line.	1029	5	3	2	3	1	2	3	3	4	4	1	5	4	1	1	1	4	4	1	4	4	1	5	2	2	4	4	3	1	1	2	1	4	1	4	3	5	5	4	1	5	4	5	4	4	5	2	4	5	5	2	1	4	3	2	1	4	1	1	4	4	2	5	4	1	4	3	4	4	4	2	5	1	1	2	2	3	2	5	3	4	3	4	5	1	4	4	2	2	3	3	4	2	1	1	3	4	1	4	4	1	4	5	1	5
